AMKA;father_name;sex;weight;height;address;profession;citizenship
11015010149;Ανδρέας;Female;83.8;161;Ακαδημίας 1, 10563 Αθήνα;Βιολόγος;Ελληνική
11015085979;Βασίλης;Female;30.9;117;Ιπποκράτους 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015076453;Θοδωρής;Female;100.5;187;Ιπποκράτους 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
11015044498;Μανώλης;Female;29.5;95;Πειραιώς 1, 10563 Αθήνα;Δασκάλα;Ελληνική
99900000006;Φώτης;Female;20.7;133;Σταδίου 1, 10563 Αθήνα;Γραμματέας;Ελληνική
11015046922;Δημήτρης;Female;65.9;188;Πανεπιστημίου 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015092113;Βασίλης;Female;93.1;101;Σκουφά 1, 10563 Αθήνα;Προγραμματίστρια;Ελληνική
11015021477;Στέφανος;Female;55.0;123;Ακαδημίας 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015026203;Λεωνίδας;Female;81.7;137;Αθηνάς 1, 10563 Αθήνα;Κομμώτρια;Ελληνική
99900000007;Πέτρος;Female;89.0;97;Αμερικής 1, 10563 Αθήνα;Κομμώτρια;Ελληνική
11015035596;Βαγγέλης;Female;99.5;158;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Ψυχολόγος;Ελληνική
11015041516;Ανδρέας;Female;27.1;91;Πατησίων 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015059383;Στέλιος;Female;47.4;144;Αχαρνών 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015014902;Κυριάκος;Female;85.3;132;Πατησίων 1, 10563 Αθήνα;Δικηγόρος;Ελληνική
11015063680;Λευτέρης;Female;82.7;147;Πατησίων 1, 10563 Αθήνα;Συμβολαιογράφος;Ελληνική
11015038799;Διονύσης;Female;125.6;99;Ερμού 1, 10563 Αθήνα;Πολιτικός Μηχανικός;Ελληνική
11015071760;Ανδρέας;Female;21.5;94;Μεσογείων 1, 10563 Αθήνα;Ψυχολόγος;Ελληνική
99900000008;Χρήστος;Female;41.0;146;Μεσογείων 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015040447;Σταύρος;Female;64.3;165;Μεσογείων 1, 10563 Αθήνα;Βιολόγος;Ελληνική
11015061735;Δημήτρης;Female;127.9;109;Ερμού 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015052184;Αλέξανδρος;Female;48.4;143;Κανάρη 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015083249;Φώτης;Female;75.3;104;Αθηνάς 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015041455;Κώστας;Female;49.3;145;Αθηνάς 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015092792;Μανώλης;Female;111.8;109;Σκουφά 1, 10563 Αθήνα;Κομμώτρια;Ελληνική
11015068319;Σπύρος;Female;95.7;171;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Συμβολαιογράφος;Ελληνική
11015005155;Θανάσης;Female;118.5;229;Βουκουρεστίου 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
11015013119;Φώτης;Female;76.1;94;Σταδίου 1, 10563 Αθήνα;Προγραμματίστρια;Ελληνική
11015072322;Θανάσης;Female;30.6;183;Πειραιώς 1, 10563 Αθήνα;Μεταφράστρια;Ελληνική
11015051880;Γιώργος;Female;98.4;184;Αχαρνών 1, 10563 Αθήνα;Δικηγόρος;Ελληνική
11015008928;Θανάσης;Female;21.5;114;Αχαρνών 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015085158;Γιώργος;Female;28.2;96;Σκουφά 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015020628;Αλέξανδρος;Female;55.7;221;Σταδίου 1, 10563 Αθήνα;Μαγείρισσα;Ελληνική
99900000009;Παναγιώτης;Female;124.6;90;Σταδίου 1, 10563 Αθήνα;Καθηγήτρια;Ελληνική
11015014813;Στέλιος;Female;41.6;219;Πανεπιστημίου 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015045326;Χρήστος;Female;24.7;189;Σταδίου 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015077648;Στέλιος;Female;107.2;170;Ευριπίδου 1, 10563 Αθήνα;Ερευνήτρια;Ελληνική
11015089993;Πέτρος;Female;79.6;136;Αμερικής 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015042819;Παύλος;Female;103.7;192;Πειραιώς 1, 10563 Αθήνα;Γραφίστρια;Ελληνική
11015045479;Λευτέρης;Female;98.2;193;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Νοσηλεύτρια;Ελληνική
11015070057;Ηλίας;Female;99.4;98;Αιόλου 1, 10563 Αθήνα;Μηχανολόγος Μηχανικός;Ελληνική
11015030387;Στέλιος;Female;22.6;104;Αμερικής 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015045415;Ηλίας;Female;39.5;141;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015006181;Διονύσης;Female;128.7;91;Κανάρη 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015053389;Θανάσης;Female;122.6;108;Κανάρη 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015060932;Χρήστος;Female;23.2;228;Κανάρη 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015072377;Δημήτρης;Female;35.0;140;Αιόλου 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015095147;Σταύρος;Female;102.9;154;Ακαδημίας 1, 10563 Αθήνα;Γραφίστρια;Ελληνική
11015056901;Μανώλης;Female;80.1;220;Κανάρη 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015079325;Σταύρος;Female;92.3;104;Αχαρνών 1, 10563 Αθήνα;Δημοσιογράφος;Ελληνική
11015010620;Βαγγέλης;Female;93.7;215;Πατησίων 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015042702;Κυριάκος;Female;88.8;216;Πανεπιστημίου 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015022662;Δημήτρης;Female;99.6;93;Αμερικής 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015051176;Στέλιος;Female;109.1;206;Σκουφά 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015094460;Χρήστος;Female;88.4;150;Ευριπίδου 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015045638;Γιώργος;Female;79.4;192;Αχαρνών 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015077238;Δημήτρης;Female;121.0;199;Σταδίου 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015054306;Λεωνίδας;Female;114.6;109;Αθηνάς 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015043257;Βαγγέλης;Female;126.8;98;Ευριπίδου 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015022804;Μιχάλης;Female;75.7;222;Ερμού 1, 10563 Αθήνα;Ηλεκτρολόγος;Ελληνική
11015038361;Φώτης;Female;48.0;186;Σταδίου 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015049607;Μιχάλης;Female;127.3;148;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015076140;Γρηγόρης;Female;75.1;146;Ακαδημίας 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015051791;Μανώλης;Female;128.9;228;Πανεπιστημίου 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015013752;Σταύρος;Female;125.6;143;Κανάρη 1, 10563 Αθήνα;Μαγείρισσα;Ελληνική
11015099571;Φώτης;Female;35.3;92;Ακαδημίας 1, 10563 Αθήνα;Κομμώτρια;Ελληνική
11015051050;Δημήτρης;Female;48.8;167;Ακαδημίας 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015070618;Μιχάλης;Female;124.7;143;Ιπποκράτους 1, 10563 Αθήνα;Ηθοποιός;Ελληνική
11015067383;Σωτήρης;Female;67.3;160;Ακαδημίας 1, 10563 Αθήνα;Λογίστρια;Ελληνική
11015028185;Αντώνης;Female;81.4;116;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Μαγείρισσα;Ελληνική
11015071403;Κυριάκος;Female;30.1;179;Κανάρη 1, 10563 Αθήνα;Δικηγόρος;Ελληνική
11015022261;Διονύσης;Female;79.5;113;Ευριπίδου 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015045022;Σταύρος;Female;31.9;141;Αιόλου 1, 10563 Αθήνα;Διακοσμήτρια;Ελληνική
11015081027;Μιχάλης;Female;126.4;128;Αχαρνών 1, 10563 Αθήνα;Κτηνίατρος;Ελληνική
11015018301;Στέλιος;Female;122.9;198;Κανάρη 1, 10563 Αθήνα;Σύμβουλος Επιχειρήσεων;Ελληνική
11015088663;Διονύσης;Female;87.0;163;Βουκουρεστίου 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015019202;Μιχάλης;Female;79.5;150;Ιπποκράτους 1, 10563 Αθήνα;Φωτογράφος;Ελληνική
11015033650;Γρηγόρης;Female;55.6;209;Μητροπόλεως 1, 10563 Αθήνα;Πωλήτρια;Ελληνική
11015081367;Παναγιώτης;Female;123.8;153;Σόλωνος 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015001499;Αλέξανδρος;Female;72.9;230;Μητροπόλεως 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015053209;Νίκος;Female;118.5;140;Κηφισίας 1, 10563 Αθήνα;Γραμματέας;Ελληνική
11015054137;Μανώλης;Female;57.2;183;Ερμού 1, 10563 Αθήνα;Φωτογράφος;Ελληνική
11015054146;Πέτρος;Female;98.7;169;Σόλωνος 1, 10563 Αθήνα;Βιολόγος;Ελληνική
11015018089;Βαγγέλης;Female;125.4;196;Ιπποκράτους 1, 10563 Αθήνα;Διακοσμήτρια;Ελληνική
11015061931;Πέτρος;Female;95.3;211;Πειραιώς 1, 10563 Αθήνα;Αρχιτέκτονας;Ελληνική
11015013397;Στέλιος;Female;54.3;177;Ευριπίδου 1, 10563 Αθήνα;Μεταφράστρια;Ελληνική
11015010425;Γρηγόρης;Female;94.0;150;Ακαδημίας 1, 10563 Αθήνα;Τραπεζικός Υπάλληλος;Ελληνική
99900000010;Σταύρος;Female;81.3;90;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Τραπεζικός Υπάλληλος;Ελληνική
11015007475;Θανάσης;Female;82.0;120;Κανάρη 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015069737;Νίκος;Female;86.8;216;Πατησίων 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015027480;Σπύρος;Female;86.9;161;Σκουφά 1, 10563 Αθήνα;Ηθοποιός;Ελληνική
11015060157;Ανδρέας;Female;112.4;92;Κανάρη 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015027104;Στέλιος;Female;85.1;219;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Δικηγόρος;Ελληνική
11015017892;Γρηγόρης;Female;61.6;193;Σκουφά 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015013681;Σπύρος;Female;84.8;133;Κηφισίας 1, 10563 Αθήνα;Λογίστρια;Ελληνική
11015084444;Κυριάκος;Female;120.8;217;Μητροπόλεως 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015076630;Μιχάλης;Female;119.6;182;Μεσογείων 1, 10563 Αθήνα;Μηχανολόγος Μηχανικός;Ελληνική
11015030706;Δημήτρης;Female;41.1;167;Σκουφά 1, 10563 Αθήνα;Λογίστρια;Ελληνική
11015009142;Λεωνίδας;Female;87.2;98;Αμερικής 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015094399;Χρήστος;Female;104.6;131;Ιπποκράτους 1, 10563 Αθήνα;Φαρμακοποιός;Ελληνική
11015073241;Αντώνης;Female;85.7;92;Ιπποκράτους 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015059971;Μιχάλης;Female;66.3;102;Πατησίων 1, 10563 Αθήνα;Μαγείρισσα;Ελληνική
11015058534;Αλέξανδρος;Female;82.9;105;Αιόλου 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015055449;Λευτέρης;Female;123.7;117;Σταδίου 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015016982;Γρηγόρης;Female;27.5;221;Μητροπόλεως 1, 10563 Αθήνα;Υπάλληλος Γραφείου;Ελληνική
11015094111;Νίκος;Female;129.4;197;Σκουφά 1, 10563 Αθήνα;Ηλεκτρολόγος;Ελληνική
11015092952;Κυριάκος;Female;61.3;129;Αχαρνών 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015011889;Μιχάλης;Female;129.8;104;Αθηνάς 1, 10563 Αθήνα;Βιολόγος;Ελληνική
11015061325;Παναγιώτης;Female;83.9;186;Πατησίων 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015025874;Ηλίας;Female;96.3;198;Ακαδημίας 1, 10563 Αθήνα;Υδραυλικός;Ελληνική
11015098947;Σταύρος;Female;41.3;207;Κανάρη 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015044531;Παναγιώτης;Female;21.8;117;Κανάρη 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015055760;Κυριάκος;Female;78.8;126;Πανεπιστημίου 1, 10563 Αθήνα;Βιολόγος;Ελληνική
11015085309;Γρηγόρης;Female;84.4;97;Βασιλίσσης Σοφίας 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015081517;Γρηγόρης;Female;97.3;202;Πειραιώς 1, 10563 Αθήνα;Γραμματέας;Ελληνική
11015065991;Διονύσης;Female;67.3;217;Σκουφά 1, 10563 Αθήνα;Υπάλληλος Γραφείου;Ελληνική
11015094530;Ηλίας;Female;87.5;104;Αιόλου 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015052246;Κυριάκος;Female;66.7;151;Κηφισίας 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015094040;Διονύσης;Female;51.6;214;Μεσογείων 1, 10563 Αθήνα;Ερευνήτρια;Ελληνική
11015065642;Λεωνίδας;Female;96.1;173;Μεσογείων 1, 10563 Αθήνα;Πωλήτρια;Ελληνική
11015007778;Κώστας;Female;118.7;134;Σκουφά 1, 10563 Αθήνα;Πωλήτρια;Ελληνική
11015063163;Γιώργος;Female;111.2;132;Βουκουρεστίου 1, 10563 Αθήνα;Καθηγήτρια;Ελληνική
11015019113;Θοδωρής;Female;48.6;152;Κηφισίας 1, 10563 Αθήνα;Διακοσμήτρια;Ελληνική
11015024189;Μανώλης;Female;109.4;176;Αθηνάς 1, 10563 Αθήνα;Ξενοδοχοϋπάλληλος;Ελληνική
11015045683;Ηλίας;Female;75.7;143;Βουκουρεστίου 1, 10563 Αθήνα;Γραφίστρια;Ελληνική
11015026686;Δημήτρης;Female;28.0;172;Σκουφά 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015039752;Σπύρος;Female;26.2;98;Αμερικής 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015007769;Χρήστος;Female;67.8;120;Αιόλου 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015073269;Βαγγέλης;Female;41.6;146;Σταδίου 1, 10563 Αθήνα;Ιατρός;Ελληνική
11015047805;Παναγιώτης;Female;94.7;202;Πειραιώς 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
11015076042;Ανδρέας;Female;67.4;214;Πανεπιστημίου 1, 10563 Αθήνα;Τεχνικός Δικτύων;Ελληνική
11015069577;Διονύσης;Female;40.2;227;Ιπποκράτους 1, 10563 Αθήνα;Πολιτικός Μηχανικός;Ελληνική
11015078237;Φώτης;Female;118.4;112;Αθηνάς 1, 10563 Αθήνα;Φυσικοθεραπεύτρια;Ελληνική
11015000070;Διονύσης;Female;111.5;161;Κηφισίας 1, 10563 Αθήνα;Μηχανολόγος Μηχανικός;Ελληνική
11015084033;Φώτης;Female;56.2;224;Σκουφά 1, 10563 Αθήνα;Νοσηλεύτρια;Ελληνική
11015049055;Κυριάκος;Female;45.3;109;Μεσογείων 1, 10563 Αθήνα;Αναλύτρια Δεδομένων;Ελληνική
11015098279;Μιχάλης;Female;110.1;170;Σόλωνος 1, 10563 Αθήνα;Δασκάλα;Ελληνική
11015074838;Πέτρος;Female;107.4;127;Αθηνάς 1, 10563 Αθήνα;Διευθύντρια Πωλήσεων;Ελληνική
11015062164;Γιάννης;Female;28.8;163;Πανεπιστημίου 1, 10563 Αθήνα;Διακοσμήτρια;Ελληνική
11015088495;Γρηγόρης;Female;47.1;199;Πατησίων 1, 10563 Αθήνα;Υδραυλικός;Ελληνική
11015078834;Χρήστος;Female;30.1;139;Βουκουρεστίου 1, 10563 Αθήνα;Οικονομολόγος;Ελληνική
11015007821;Μανώλης;Female;113.3;196;Πειραιώς 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015096351;Χρήστος;Female;47.3;104;Κανάρη 1, 10563 Αθήνα;Οδηγός;Ελληνική
11015041213;Γιάννης;Female;87.3;98;Ακαδημίας 1, 10563 Αθήνα;Μαγείρισσα;Ελληνική
11015067150;Παύλος;Female;40.5;110;Κανάρη 1, 10563 Αθήνα;Ηλεκτρολόγος;Ελληνική
11015035603;Δημήτρης;Female;63.9;190;Ιπποκράτους 1, 10563 Αθήνα;Δημοσιογράφος;Ελληνική
99900000011;Θανάσης;Female;26.6;179;Ερμού 1, 10563 Αθήνα;Δημοσιογράφος;Ελληνική
11015032697;Στέφανος;Female;41.7;230;Σταδίου 1, 10563 Αθήνα;Πολιτικός Μηχανικός;Ελληνική
11015098885;Κυριάκος;Female;96.7;176;Αχαρνών 1, 10563 Αθήνα;Νοσηλεύτρια;Ελληνική
11015068890;Αλέξανδρος;Female;66.6;139;Ακαδημίας 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015027827;Κώστας;Female;22.0;188;Ακαδημίας 1, 10563 Αθήνα;Μουσικός;Ελληνική
11015088002;Πέτρος;Female;41.7;204;Ακαδημίας 1, 10563 Αθήνα;Οδοντίατρος;Ελληνική
