+-------------+------------------+
| AMKA        | count_procedures |
| 21015035499 |                0 |
| 21015074295 |                0 |
| 31015007359 |                0 |
| 31015052923 |                0 |
| 31015092541 |                0 |
| 41015041650 |                0 |
| 41015093390 |                0 |
| 11015072803 |                0 |
| 21015004762 |                0 |
| 21015051194 |                0 |
| 21015087931 |                0 |
| 31015030145 |                0 |
| 31015072803 |                0 |
| 41015004799 |                0 |
| 41015066473 |                0 |
| 11015002336 |                0 |
| 21015026221 |                0 |
| 21015069871 |                0 |
| 31015002336 |                0 |
| 31015049983 |                0 |
| 31015084328 |                0 |
| 41015034828 |                0 |
| 41015087307 |                0 |
| 11015021217 |                0 |
| 21015041990 |                0 |
| 21015078843 |                0 |
| 31015021217 |                0 |
| 31015065571 |                0 |
| 31015097886 |                0 |
| 41015052923 |                0 |
| 21015014127 |                0 |
| 21015059551 |                0 |
| 21015096226 |                0 |
| 31015038487 |                0 |
| 31015076514 |                0 |
| 41015021985 |                0 |
| 41015074357 |                0 |
| 11015008777 |                0 |
| 11015093229 |                0 |
| 21015037317 |                0 |
| 21015074357 |                0 |
| 31015008777 |                0 |
| 31015054930 |                0 |
| 31015093229 |                0 |
| 41015041990 |                0 |
| 41015094727 |                0 |
| 21015004799 |                0 |
| 21015051979 |                0 |
| 21015090696 |                0 |
| 31015032143 |                0 |
| 31015073624 |                0 |
| 41015007359 |                0 |
| 41015069871 |                0 |
| 11015087307 |                0 |
| 21015026999 |                0 |
| 21015071644 |                0 |
| 31015003022 |                0 |
| 31015050587 |                0 |
| 31015087307 |                0 |
| 41015035499 |                0 |
| 41015087931 |                0 |
| 11015066455 |                0 |
| 11015099063 |                0 |
| 21015044951 |                0 |
| 21015079227 |                0 |
| 31015021985 |                0 |
| 31015066455 |                0 |
| 31015099063 |                0 |
| 41015054930 |                0 |
| 11015038780 |                0 |
| 11015076952 |                0 |
| 21015015028 |                0 |
| 21015061156 |                0 |
| 21015096645 |                0 |
| 31015038780 |                0 |
| 31015076952 |                0 |
| 41015022813 |                0 |
| 41015076159 |                0 |
| 11015009749 |                0 |
| 21015038307 |                0 |
| 21015075524 |                0 |
| 31015009749 |                0 |
| 31015055957 |                0 |
| 31015093390 |                0 |
| 41015044951 |                0 |
| 41015096645 |                0 |
| 11015074151 |                0 |
| 21015005752 |                0 |
| 21015052371 |                0 |
| 21015091203 |                0 |
| 31015034828 |                0 |
| 31015074151 |                0 |
| 41015008777 |                0 |
| 41015071644 |                0 |
| 21015028014 |                0 |
| 21015071902 |                0 |
| 31015003086 |                0 |
| 31015050998 |                0 |
| 31015087637 |                0 |
| 41015037317 |                0 |
| 41015090696 |                0 |
| 11015066473 |                0 |
| 21015001337 |                0 |
| 21015047725 |                0 |
| 21015080947 |                0 |
| 31015022813 |                0 |
| 31015066473 |                0 |
| 41015001337 |                0 |
| 41015055957 |                0 |
| 11015041650 |                0 |
| 21015018604 |                0 |
| 21015064821 |                0 |
| 21015097001 |                0 |
| 31015041650 |                0 |
| 31015077103 |                0 |
| 41015026221 |                0 |
| 41015077103 |                0 |
| 11015012227 |                0 |
| 21015038469 |                0 |
| 21015076159 |                0 |
| 31015012227 |                0 |
| 31015058240 |                0 |
| 31015094727 |                0 |
| 41015050587 |                0 |
| 41015097886 |                0 |
| 21015007359 |                0 |
| 21015052923 |                0 |
| 21015092541 |                0 |
| 31015035499 |                0 |
| 31015074295 |                0 |
| 41015012227 |                0 |
| 41015071902 |                0 |
| 11015004762 |                0 |
| 21015030145 |                0 |
| 21015072803 |                0 |
| 31015004762 |                0 |
| 31015051194 |                0 |
| 31015087931 |                0 |
| 41015038307 |                0 |
| 41015091203 |                0 |
| 11015069871 |                0 |
| 21015002336 |                0 |
| 21015049983 |                0 |
| 21015084328 |                0 |
| 31015026221 |                0 |
| 31015069871 |                0 |
| 41015002336 |                0 |
| 41015058240 |                0 |
| 11015078843 |                0 |
| 21015021217 |                0 |
| 21015065571 |                0 |
| 21015097886 |                0 |
| 31015041990 |                0 |
| 31015078843 |                0 |
| 41015026999 |                0 |
| 41015078843 |                0 |
| 11015059551 |                0 |
| 11015096226 |                0 |
| 21015038487 |                0 |
| 21015076514 |                0 |
| 31015014127 |                0 |
| 31015059551 |                0 |
| 31015096226 |                0 |
| 41015050998 |                0 |
| 41015099063 |                0 |
| 21015008777 |                0 |
| 21015054930 |                0 |
| 21015093229 |                0 |
| 31015037317 |                0 |
| 31015074357 |                0 |
| 41015014127 |                0 |
| 41015072803 |                0 |
| 11015051979 |                1 |
| 11015015028 |                1 |
| 11015061156 |                1 |
| 11015096645 |                1 |
| 11015038307 |                1 |
| 11015075524 |                1 |
| 11015005752 |                1 |
| 11015052371 |                1 |
| 11015038469 |                1 |
| 11015052923 |                1 |
| 11015092541 |                1 |
| 11015030145 |                1 |
| 11015049983 |                1 |
| 11015038487 |                1 |
| 11015076514 |                1 |
| 11015054930 |                1 |
| 11015073624 |                1 |
| 11015003022 |                1 |
| 11015050587 |                1 |
| 11015021985 |                1 |
| 11015003086 |                1 |
| 11015050998 |                1 |
| 11015087637 |                1 |
| 11015077103 |                1 |
| 11015058240 |                1 |
| 11015094727 |                1 |
| 11015035499 |                1 |
| 11015051194 |                1 |
| 11015087931 |                1 |
| 11015026221 |                1 |
| 11015041990 |                1 |
| 11015014127 |                1 |
| 11015037317 |                1 |
| 11015074357 |                1 |
| 11015090696 |                2 |
| 11015044951 |                2 |
| 11015084328 |                2 |
| 11015097886 |                2 |
| 11015055957 |                2 |
| 11015093390 |                2 |
| 11015022813 |                2 |
| 11015074295 |                2 |
| 11015004799 |                3 |
| 11015071902 |                3 |
| 11015047725 |                3 |
| 11015080947 |                3 |
| 11015065571 |                3 |
| 11015034828 |                3 |
+-------------+------------------+
299 rows in set (0.390 sec)
